EdLevel
Primary/elementary school
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Primary/elementary school
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
Primary/elementary school
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
Some college/university study without earning a degree
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Associate degree (A.A., A.S., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Something else
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Associate degree (A.A., A.S., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Some college/university study without earning a degree
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
Some college/university study without earning a degree
Some college/university study without earning a degree
Some college/university study without earning a degree
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Some college/university study without earning a degree
Some college/university study without earning a degree
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
Primary/elementary school
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
Primary/elementary school
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Something else
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Associate degree (A.A., A.S., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Primary/elementary school
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Primary/elementary school
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Something else
"Associate degree (A.A., A.S., etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"
Some college/university study without earning a degree
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)"
Some college/university study without earning a degree
