Platform,Frequency
Hobby,37226
Contribute to open-source projects,13717
Other (please specify):,1098
None,10971
I don’t code outside of work,6508
Bootstrapping a business,8194
School or academic work,7069
Professional development or self-paced learning from online courses,21513
Freelance/contract work,10513
